address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y,종별
서울 종로구 종로1가 24,HP8,병원,"의료,건강 > 병원 > 안과",245,1585164519,02-733-5111,공안과의원,http://place.map.kakao.com/1585164519,서울 종로구 종로 19,126.97992344170883,37.570844667972615,안과
서울 종로구 청진동 136,HP8,병원,"의료,건강 > 병원 > 치과",241,534879179,02-6263-2828,연세마이덴치과의원,http://place.map.kakao.com/534879179,서울 종로구 종로5길 13,126.98046220879066,37.57103216538637,치과
서울 종로구 평동 108-1,HP8,병원,"의료,건강 > 병원 > 종합병원",1121,8178752,1599-8114,강북삼성병원,http://place.map.kakao.com/8178752,서울 종로구 새문안로 29,126.96791880666925,37.568509338947926,종합병원
서울 종로구 청진동 184-1,HP8,병원,"의료,건강 > 병원 > 정신건강의학과",125,1398051930,02-722-7977,광화문숲 정신건강의학과의원,http://place.map.kakao.com/1398051930,서울 종로구 종로3길 34,126.97947942805781,37.57187533013884,정신건강의학과
서울 중구 무교동 77,HP8,병원,"의료,건강 > 병원 > 정형외과",469,1143385737,02-755-8575,우리본정형외과의원,http://place.map.kakao.com/1143385737,서울 중구 청계천로 14,126.9788192241803,37.56879020544934,정형외과
서울 종로구 수송동 68-1,HP8,병원,"의료,건강 > 병원 > 일반의원",114,1921109683,02-6954-0903,연세로의료의원,http://place.map.kakao.com/1921109683,서울 종로구 삼봉로 57,126.980475393512,37.5725602553089,일반의원
서울 종로구 청진동 100-23,HP8,병원,"의료,건강 > 병원 > 피부과",295,2027286340,02-6930-5824,맥스웰피부과의원 종로점,http://place.map.kakao.com/2027286340,서울 종로구 종로 33,126.981440248159,37.5709602435767,피부과
서울 종로구 종로2가 75-9,HP8,병원,"의료,건강 > 병원 > 안과",686,10638834,0502-5552-4275,예본안과의원,http://place.map.kakao.com/10638834,서울 종로구 종로 78,126.9860362336633,37.56991932603902,안과
서울 종로구 평동 164,HP8,병원,"의료,건강 > 병원 > 종합병원",1264,7827883,02-2002-8000,서울적십자병원,http://place.map.kakao.com/7827883,서울 종로구 새문안로 9,126.966998002757,37.5671765124824,종합병원
서울 종로구 신문로2가 1-158,HP8,병원,"의료,건강 > 병원 > 노인,요양병원",737,1299258219,1533-5282,아미나 요양병원,http://place.map.kakao.com/1299258219,서울 종로구 경희궁길 26,126.97099167178334,37.57227359146669,"노인,요양병원"
서울 종로구 서린동 145-1,HP8,병원,"의료,건강 > 병원 > 정형외과",390,1331611628,0507-1420-7594,참바른정형외과의원,http://place.map.kakao.com/1331611628,서울 종로구 무교로 39,126.97913823696,37.5694822268236,정형외과
서울 종로구 세종로 202-1,HP8,병원,"의료,건강 > 병원 > 이비인후과",371,8234646,02-736-5505,광화문닥터김이비인후과의원,http://place.map.kakao.com/8234646,서울 종로구 세종대로 159,126.976346501831,37.5706097467219,이비인후과
서울 종로구 청진동 136,HP8,병원,"의료,건강 > 병원 > 정형외과",252,26262167,02-6391-2580,종로기대찬의원 본관,http://place.map.kakao.com/26262167,서울 종로구 종로5길 13,126.980552785077,37.5709601007214,정형외과
서울 종로구 종로2가 84-1,HP8,병원,"의료,건강 > 병원 > 내과",651,839084457,02-722-1854,더영의원,http://place.map.kakao.com/839084457,서울 종로구 종로 74,126.985601559397,37.569942699700405,내과
서울 종로구 종로2가 102-3,HP8,병원,"의료,건강 > 병원 > 피부과",548,24637265,02-723-9889,연세아인의원,http://place.map.kakao.com/24637265,서울 종로구 종로 60-1,126.98416737648394,37.569936209111475,피부과
서울 중구 남대문로2가 5-3,HP8,병원,"의료,건강 > 병원 > 피부과",934,1965942126,02-6956-5516,밴스의원 명동,http://place.map.kakao.com/1965942126,서울 중구 남대문로 90,126.98291993947268,37.5650886778756,피부과
서울 중구 을지로2가 199-4,HP8,병원,"의료,건강 > 병원 > 안과",1238,9022392,02-319-9300,명동성모안과,http://place.map.kakao.com/9022392,서울 중구 남대문로 92,126.98344964168125,37.565167139991026,안과
서울 중구 태평로1가 25-3,HP8,병원,"의료,건강 > 병원 > 피부과",572,1979961950,02-739-0119,써밋의원 광화문점,http://place.map.kakao.com/1979961950,서울 중구 세종대로22길 12,126.977968257453,37.5679458167793,피부과
서울 종로구 종로1가 24,HP8,병원,"의료,건강 > 병원 > 산부인과",245,2047103707,02-722-5001,위드산부인과의원,http://place.map.kakao.com/2047103707,서울 종로구 종로 19,126.979923441709,37.5708446679787,산부인과
서울 종로구 수송동 58,HP8,병원,"의료,건강 > 병원 > 이비인후과",246,8074660,02-723-7585,종로위브의원,http://place.map.kakao.com/8074660,서울 종로구 삼봉로 81,126.981974194931,37.5723802946711,이비인후과
서울 종로구 종로2가 71-2,HP8,병원,"의료,건강 > 병원 > 안과",789,8433641,02-735-3121,새얀안과의원,http://place.map.kakao.com/8433641,서울 종로구 삼일대로 395,126.98734477440902,37.56989784967102,안과
서울 종로구 안국동 52-5,HP8,병원,"의료,건강 > 병원 > 안과",692,1531318429,02-326-1101,안국의원,http://place.map.kakao.com/1531318429,서울 종로구 윤보선길 48,126.983659591403,37.578184747205,안과
서울 종로구 관철동 13-13,HP8,병원,"의료,건강 > 병원 > 피부과",719,8003976,02-720-7582,에스앤유피부과의원,http://place.map.kakao.com/8003976,서울 종로구 종로12길 15,126.98604652427024,37.56936701703476,피부과
서울 중구 을지로2가 9-10,HP8,병원,"의료,건강 > 병원 > 정형외과",852,1628355085,02-6925-5375,을지로정형외과의원,http://place.map.kakao.com/1628355085,서울 중구 을지로 55,126.984026658176,37.5663033755038,정형외과
서울 중구 충무로2가 62-3,HP8,병원,"의료,건강 > 병원 > 피부과 > CNP차앤박피부과",927,11687292,02-777-2488,CNP차앤박피부과 명동점,http://place.map.kakao.com/11687292,서울 중구 퇴계로 141-7,126.98741410213168,37.56151408864287,CNP차앤박피부과
서울 종로구 당주동 100,HP8,병원,"의료,건강 > 병원 > 정형외과",546,1504533743,02-735-7588,광화문정형외과의원,http://place.map.kakao.com/1504533743,서울 종로구 세종대로23길 54,126.97328523722531,37.57183264517333,정형외과
서울 종로구 청진동 146,HP8,병원,"의료,건강 > 병원 > 정형외과",256,26810458,02-2088-7975,종로정형외과의원,http://place.map.kakao.com/26810458,서울 종로구 종로 19,126.9799189409361,37.57074375574153,정형외과
서울 종로구 종로3가 119,HP8,병원,"의료,건강 > 병원 > 치과",868,260877907,02-2264-9595,종로 365서울치과의원,http://place.map.kakao.com/260877907,서울 종로구 종로 120,126.99100209424867,37.5700450473239,치과
서울 종로구 당주동 128-27,HP8,병원,"의료,건강 > 병원 > 이비인후과",634,470993638,02-739-8206,서울귀한이비인후과의원,http://place.map.kakao.com/470993638,서울 종로구 새문안로3길 15,126.97230046083105,37.57170447691258,이비인후과
서울 중구 남대문로2가 9-1,HP8,병원,"의료,건강 > 병원 > 피부과",974,1520072370,02-752-8887,쁨글로벌의원 명동점,http://place.map.kakao.com/1520072370,서울 중구 남대문로 84,126.98284080153431,37.564680515125644,피부과
서울 종로구 내자동 26,HP8,병원,"의료,건강 > 병원 > 내과",839,10938902,02-725-4833,한빛내과의원,http://place.map.kakao.com/10938902,서울 종로구 사직로 107,126.97076595607895,37.57632080411947,내과
서울 종로구 청진동 70,HP8,병원,"의료,건강 > 병원 > 이비인후과",325,2065182178,02-2158-7979,예림이비인후과의원,http://place.map.kakao.com/2065182178,서울 종로구 종로 33,126.98116417270985,37.570464652438154,이비인후과
서울 중구 명동1가 5-1,HP8,병원,"의료,건강 > 병원 > 피부과",1014,13511327,02-774-8575,루비의원,http://place.map.kakao.com/13511327,서울 중구 명동길 65,126.98591958825192,37.56419438447679,피부과
서울 종로구 신문로1가 24,HP8,병원,"의료,건강 > 병원 > 피부과",488,2122766225,02-733-2237,광화문헤리티크피부과의원,http://place.map.kakao.com/2122766225,서울 종로구 새문안로 91,126.974760662896,37.5704877839679,피부과
서울 중구 을지로2가 199-77,HP8,병원,"의료,건강 > 병원 > 이비인후과",971,25489675,02-3789-9898,명동연세이비인후과의원,http://place.map.kakao.com/25489675,서울 중구 명동9가길 12,126.98392731851168,37.565059086448265,이비인후과
서울 종로구 종로2가 9,HP8,병원,"의료,건강 > 병원 > 항문외과",610,882091141,02-735-7175,더블유항외과의원 종로점,http://place.map.kakao.com/882091141,서울 종로구 종로 69,126.98543166293042,37.570474266137204,항문외과
서울 중구 무교동 1,HP8,병원,"의료,건강 > 병원 > 이비인후과",467,10414172,02-778-9275,미래이비인후과의원,http://place.map.kakao.com/10414172,서울 중구 무교로 32,126.979498386387,37.5687867213618,이비인후과
서울 종로구 청진동 146,HP8,병원,"의료,건강 > 병원 > 피부과",272,19716285,02-2075-7500,연세에스웰피부과,http://place.map.kakao.com/19716285,서울 종로구 종로 19,126.979932564161,37.5705959948285,피부과
서울 종로구 청진동 146,HP8,병원,"의료,건강 > 병원 > 이비인후과",216,11627082,02-2075-5075,연세다나이비인후과의원,http://place.map.kakao.com/11627082,서울 종로구 종로 19,126.9797241513735,37.57108159567177,이비인후과
서울 종로구 청진동 146,HP8,병원,"의료,건강 > 병원 > 치과",241,1680292352,02-6925-0552,서울사랑니치과의원,http://place.map.kakao.com/1680292352,서울 종로구 종로 19,126.97974911692214,37.57085184616655,치과
서울 중구 태평로2가 340-6,HP8,병원,"의료,건강 > 병원 > 안과",1063,7888981,02-771-0061,밝은안과의원,http://place.map.kakao.com/7888981,서울 중구 서소문로 138,126.976326045766,37.5637117185217,안과
서울 종로구 신문로1가 2,HP8,병원,"의료,건강 > 병원 > 정형외과",402,18316188,02-737-8257,채움마취통증의학과의원,http://place.map.kakao.com/18316188,서울 종로구 새문안로 103,126.976047712106,37.5704583192657,정형외과
서울 종로구 신문로1가 25,HP8,병원,"의료,건강 > 병원 > 통증클리닉",507,1602374348,02-730-0088,스마일마취통증의학과의원,http://place.map.kakao.com/1602374348,서울 종로구 새문안로 89,126.97451389999901,37.57047421601848,통증클리닉
서울 종로구 청진동 246,HP8,병원,"의료,건강 > 병원 > 치과",216,1775297620,02-723-6000,더스퀘어치과의원,http://place.map.kakao.com/1775297620,서울 종로구 종로3길 17,126.97892724725624,37.571071545167605,치과
서울 종로구 인사동 194-4,HP8,병원,"의료,건강 > 병원 > 정신건강의학과",547,7961717,02-734-5648,송신경정신과의원,http://place.map.kakao.com/7961717,서울 종로구 인사동5길 25,126.985392859525,37.5720960527287,정신건강의학과
서울 중구 을지로6가 18-79,HP8,병원,"의료,건강 > 병원 > 국립병원",810,11952764,1588-1775,국립중앙의료원,http://place.map.kakao.com/11952764,서울 중구 을지로 245,127.00568219886239,37.56724946405115,국립병원
서울 종로구 종로5가 102,HP8,병원,"의료,건강 > 병원 > 이비인후과",836,166400079,02-763-1333,코코이비인후과의원,http://place.map.kakao.com/166400079,서울 종로구 종로 205,127.000556930203,37.5712031678964,이비인후과
서울 종로구 종로5가 138-4,HP8,병원,"의료,건강 > 병원 > 일반의원",803,1687606027,02-2285-5210,종로가톨릭의원,http://place.map.kakao.com/1687606027,서울 종로구 종로 210,127.001207805435,37.5706679718319,일반의원
서울 종로구 종로4가 1-1,HP8,병원,"의료,건강 > 병원 > 일반의원",816,9050435,02-762-6555,보람연합의원,http://place.map.kakao.com/9050435,서울 종로구 종로 201-1,127.00016187180071,37.5711157725607,일반의원
서울 종로구 종로5가 91,HP8,병원,"의료,건강 > 병원 > 일반의원",860,1841248372,02-762-3655,종로365의원,http://place.map.kakao.com/1841248372,서울 종로구 종로 211-1,127.001249697281,37.5712175785194,일반의원
서울 중구 충무로5가 52-25,HP8,병원,"의료,건강 > 병원 > 일반의원",264,61973288,02-2277-2727,JH제일의원 건강검진센터,http://place.map.kakao.com/61973288,서울 중구 퇴계로 244,126.99903454539889,37.56210130436717,일반의원
서울 종로구 종로4가 149-1,HP8,병원,"의료,건강 > 병원 > 일반의원",736,1940581356,02-2278-5282,종로베스트의원,http://place.map.kakao.com/1940581356,서울 종로구 종로 192,126.99907292239402,37.570604003702314,일반의원
서울 중구 을지로4가 72-1,HP8,병원,"의료,건강 > 병원 > 치과",319,25528114,02-2272-7528,연세본치과,http://place.map.kakao.com/25528114,서울 중구 을지로 177,126.99755055101,37.5669792766248,치과
서울 중구 충무로5가 52-25,HP8,병원,"의료,건강 > 병원 > 정형외과",264,750836183,02-2277-9119,서울제일마취통증의학과의원,http://place.map.kakao.com/750836183,서울 중구 퇴계로 244,126.99902662263,37.5620958983223,정형외과
서울 종로구 종로5가 88-4,HP8,병원,"의료,건강 > 병원 > 일반의원",867,1719342256,02-741-1304,연세모벨르의원 종로본점,http://place.map.kakao.com/1719342256,서울 종로구 종로 213-1,127.00153382163195,37.5711851393353,일반의원
서울 중구 을지로4가 156-1,HP8,병원,"의료,건강 > 병원 > 내과",405,9861898,02-2273-7282,서울송내과의원,http://place.map.kakao.com/9861898,서울 중구 을지로 199-2,127.000244492089,37.5669648858475,내과
서울 중구 을지로4가 310,HP8,병원,"의료,건강 > 병원 > 내과",247,1012700368,02-6273-7575,을지로참내과의원,http://place.map.kakao.com/1012700368,서울 중구 을지로 164,126.996300965574,37.5661494268216,내과
서울 중구 필동1가 43-1,HP8,병원,"의료,건강 > 병원 > 정형외과",494,740200818,02-2272-8885,충무로정형외과의원,http://place.map.kakao.com/740200818,서울 중구 충무로 3,126.992860447458,37.5614956226824,정형외과
서울 중구 충무로5가 90,HP8,병원,"의료,건강 > 병원 > 내과",323,23775703,02-2268-2007,제일내과의원,http://place.map.kakao.com/23775703,서울 중구 서애로1길 11,126.99859767160416,37.56134266077741,내과
